Artist,Song title,Popularity Score,Lyrics
Claw Boys Claw,Rosie,43,"Rainbow child, I used to call her name a lot when love was doing well
Bein' a star took all of you away from me, but most of all yourself

Got what you're looking for, waving bye to the poor
Got what you're gazing at, understanding and respect

Oh, Rosie, got it made, got it made, got it made, got it made
Oh yeah, Rosie, got it made, got it made, got it made, got it made

Rainbow star, oh, you fly too high, above our heads just held up by a string
Look out Rose, 'cause the fall is coming, your shadow tells the state you're in
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
David Bowie,This Is Not America - 2002 Remaster,43,"This is not America, sha la la la la

A little piece of you
The little peace in me
Will die (This is not a miracle)
For this is not America

Blossom fails to bloom
This season
Promise not to stare
Too long (This is not America)
For this is not the miracle

There was a time
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Foo Fighters,Times Like These,65,"I, I'm a one way motorway
I'm the one that drives away
Then follows you back home
I, I'm a street light shining
I'm a wild light blinding bright
Burning off and on
Ah-ah-ahh

It's times like these you learn to live again
It's times like these you give and give again
It's times like these you learn to love again
It's times like these time and time again

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Proclaimers,I'm Gonna Be (500 Miles),74,"When I wake up, well I know I'm gonna be,
I'm gonna be the man who wakes up next to you
When I go out, yeah I know I'm gonna be
I'm gonna be the man who goes along with you
When I get drunk, well I know I'm gonna be
I'm gonna be the man who gets drunk next to you
And when I haver, hey I know I'm gonna be
I'm gonna be the man who's havering to you

And I would roll 500 miles
And I would roll 500 more
Just to be the man who rolls a thousand miles
To fall down at your door

When I'm working, yes I know I'm gonna be
I'm gonna be the man who's working hard for you
And when the money, comes in for the work I do
I'll pass almost every penny on to you
When I come home(When I come home), well I know I'm gonna be
I'm gonna be the man who comes back home to you
And when I grow old, well I know I'm gonna be
I'm gonna be the man who's growing old with you

But I would roll 500 miles
And I would roll 500 more
Just to be the man who roles a thousand miles
To fall down at your door

Da da da (da da da)
Da da da (da da da)

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,62,"Well sometimes I go out by myself
And I look across the water
And I think of all the things, what you're doing
And in my head I paint a picture

Cos since I've come on home,
Well my body's been a mess
And I've missed your ginger hair
And the way you like to dress
Won't you come on over
Stop making a fool out of me
Why don't you come on over Valerie?
Valerie? Valerie? Valerie?

Did you have to go to jail,
Put your house up on for sale, did you get a good lawyer?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Manic Street Preachers,Motorcycle Emptiness,39,"Culture sucks downwards
Itemize loathing and feed yourself smiles

Organize your safe tribal war
Hurt, maim, kill and enslave the ghetto

Each day living out a lie
Life sold cheaply forever, ever, ever

Under neon loneliness
Motorcycle emptiness
Under neon loneliness
Motorcycle emptiness

Life lies a slow suicide
Orthodox dreams and symbolic myths
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Linkin Park,In the End,83,"It starts with one
One thing I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time

All I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away

It's so unreal
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, did-didn't even know
I wasted it all just to watch you go

I kept everything inside and even though I tried
It all fell apart
What it meant to me will eventually
Be a memory of a time when-
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Anouk,Girl,56,"Girl, girl, girl, when I hear him talk
Ooh, my mind gets blocked girl
Speak up 'cause my jaw is locked
Which is good, good for me, girl

It hides like a warning sign
But I'm too blind to see
Speak up yes I'm coming down
With an ice-cold fever, ice-cold fever
Ice-cold fever

Still got my hands they're clinging
So, I just keep going

I don't know where I belong
Could I belong to you?
No, I don't know where I belong
Could I belong

Girl, girl, girl, get it while it's hot they say
You see, I'm burning up here
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Alicia Keys,Empire State of Mind (Part II) Broken Down,75,"Ooh-ooh-ooh, New York
Ooh-ooh-ooh, New York

Grew up in a town that is famous as a place of movie scenes
Noise is always loud
There are sirens all around and the streets are mean
If I can make it here, I can make it anywhere, that's what they say
Seein' my face in lights
Or my name in marquees found down on Broadway

Even if it ain't all it seems, I got a pocketful of dreams

Baby, I'm from New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
John Mayer,Waiting On the World to Change,74,"Me and all my friends
We're all misunderstood
They say we stand for nothing and
There's no way we ever could

Now we see everything that's going wrong
With the world and those who lead it
We just feel like we don't have the means
To rise above and beat it

So we keep waiting
Waiting on the world to change
We keep on waiting
Waiting on the world to change

It's hard to beat the system
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
