Listen to Your Heart,Roxette,europop,1988,86,58,54,-5,11,34,328,11,3,76,"I know there's something in the wake of your smile
I get a notion from the look in your eyes, yeah
You've built a love, but that love falls apart
Your little piece of heaven, turns to dark

Listen to your heart, when he's calling for you
Listen to your heart, there's nothing else you can do
I don't know where you're going and I don't know why
But listen to your heart before you tell him goodbye

Sometimes you wonder if this fight is worthwhile
The precious moments are all lost in the tide, yeah
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,119,65,32,-6,24,47,272,50,3,83,"It was Christmas Eve, babe, in the drunk tank
An old man said to me, ""Won't see another one""
And then he sang a song, ""The Rare Old Mountain Dew""
I turned my face away and dreamed about you

Got on a lucky one, came in 18 to one
I've got a feeling this year's for me and you
So, Happy Christmas, I love you, baby
I can see a better time when all our dreams come true

They've got cars big as bars, they've got rivers of gold
But the wind goes right through you, it's no place for the old
When you first took my hand on a cold Christmas Eve
You promised me Broadway was waiting for me

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Living Years,Mike & The Mechanics,album rock,1988,98,42,52,-13,7,31,330,58,3,55,"Every generation
Blames the one before
And all of their frustrations
They come beating on your door

I know that I'm a prisoner
To all my Father held so dear
I know that I'm a hostage
To all his hopes and fears
I just wish I could have told him
In the living years

Oh, crumpled bits of paper
Filled with imperfect thoughts
Stilted conversations
I'm afraid that's all we've got
You say you just don't see it
He says it's perfect sense
You just can't get agreement
In this present tense
We all talk a different language
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Mushanga,TOTO,album rock,1988,122,31,72,-19,9,51,335,9,4,45,"I can't forget you
My little Mushanga
I keep a place in my heart for you
The days of waitin'
They keep gettin' longer
And not a thing I can do
I was a poet, a magazine writer
Sent to report on political views
It was by chance
Through a lens that I met you
Capetown girl with no shoes

You were runnin' down the road
I was goin' your way
I stopped and turned around
And lent you my hand
You smiled though you were suffering
I didn't understand
(You broke into my heart)
I saw your eyes and then I knew
(You broke into my heart)
Like the wind and rain that followed you
(You broke into my heart)
Had the Lord above forgotten you?
You broke in from the start
And all my tears belong to you
(Mushanga, ohh ohh ohh)
(Mushanga, ohh ohh ohh)

I sat and watched
As she danced by the fires
Through ancient songs
Did the tale unfold
They sang of diamonds
That came from their mountains
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Baby Can I Hold You,Tracy Chapman,folk,1988,74,42,69,-11,8,47,193,8,3,72,"Sorry
Is all that you can't say
Years gone by and still
Words don't come easily
Like sorry like sorry
Forgive me
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Big Love,Fleetwood Mac,album rock,1988,125,76,64,-12,13,64,219,1,5,49,"Looking out for love
And the night so still
Oh, I'll build you a kingdom
In that house on the hill

Looking out for love
Big, big love

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Handle With Care,Traveling Wilburys,album rock,1988,115,77,68,-6,25,71,200,11,3,63,"Been beat up and battered around
Been sent up and I've been shot down
You're the best thing that I've ever found
Handle me with care

Reputation's changeable
Situation's tolerable
But baby, you're adorable
Handle me with care:
I'm so tired of being lonely
I still have some love to give
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Into Temptation,Crowded House,australian pop,1988,84,37,45,-16,8,26,274,48,3,49,"You opened up your door
I couldn't believe my luck
You in your new blue dress
Taking away my breath
The cradle is soft and warm
It couldn't do me no harm
You're showing me how to give

Into temptation
Knowing full well, the Earth will rebel
Into temptation
A muddle of nervous words

Could never amount to betrayal
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Twist in My Sobriety,Tanita Tikaram,new wave pop,1988,115,56,78,-11,7,94,292,7,3,46,"All God's children need travelling shoes
Drive your problems from here
All good people read good books
Now your conscience is clear
I hear you talk girl
Now your conscience is clear

In the morning when I wipe my brow
Wipe the miles away
I like to think I can be so willed
And never do what you say
I'll never hear you
And never do what you say

Look my eyes are just holograms
Look your love has drawn red from my hands
From my hands you know you'll never be
More than twist in my sobriety
More than twist in my sobriety
More than twist in my sobriety

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Sympathy For The Devil,The Rolling Stones,album rock,1989,115,69,57,-11,5,57,377,60,28,56,"Please, allow me to introduce myself
I'm a man of wealth and taste
I've been around for a long, long year
Stole many a man's soul and fate

I was 'round when Jesus Christ
Had his moments of doubt and pain
Made damn sure that Pilate
Washed his hands and sealed his fate

Pleased to meet you
Hope you guess my name, oh yeah
But what's puzzling you
Is the nature of my game

I stuck around St. Petersburg
When I saw it was a time for a change
Killed the Czar and his ministers
Anastasia screamed in vain

I rode a tank, held a General's rank
When the Blitzkrieg raged and the bodies stank
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Another Day in Paradise - 2016 Remaster,Phil Collins,mellow gold,1989,102,56,78,-7,6,37,322,74,3,74,"She calls out to the man on the street
Sir, can you help me?
It's cold and I've nowhere to sleep
Is there somewhere you can tell me?

He walks on, doesn't look back
He pretends he can't hear her
Starts to whistle as he crosses the street
Seems embarrassed to be there

Oh, think twice, 'cause it's another day for you and me in paradise
Oh, think twice, 'cause it's another day for you, you and me in paradise

Think about it

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Poison,Alice Cooper,album rock,1989,119,91,28,-6,18,26,270,3,11,70,"Your cruel device
Your blood, like ice
One look could kill
My pain, your thrill

I wanna love you, but I better not touch (don't touch)
I wanna hold you, but my senses tell me to stop
I wanna kiss you, but I want it too much (too much)
I wanna taste you, but your lips are venomous

Poison
Your poison, running through my veins
Your poison
I don't wanna break these chains

Your mouth so hot
Your web, I'm caught
Your skin so wet
Black lace, on sweat

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
I Want It All - Remastered 2011,Queen,glam rock,1989,92,84,41,-6,37,39,242,3,5,55,"Adventure seeker on an empty street
Just an alley creeper, light on his feet
A young fighter screaming with no time for doubt
With the pain and anger, can't see a way out

It ain't much I'm asking, I heard him say
""Gotta find me a future, move out of my way""

I want it all
I want it all
I want it all
And I want it now

I want it all
I want it all
I want it all
And I want it now

Listen all you people, come gather 'round
I gotta get me a game plan, gotta shake you to the ground
Just give me, huh, what I know is mine
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Have I Told You Lately,Van Morrison,classic rock,1989,144,48,34,-10,14,18,260,28,3,68,"Have I told you lately that I love you?
Have I told you there's no one above you?
You fill my heart with gladness
Take away my sadness
You ease my troubles, that's what you do

On the morning sun in all its glory
It greets the day with hope and comfort too
And you fill my life with laughter
You can make it better
You ease my troubles, that's what you do

There's a love that's divine
And it's yours and it's mine, like the sun
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Breakthru - Remastered 2011,Queen,glam rock,1989,90,86,57,-6,36,31,248,6,9,48,"When love breaks up
When the dawn light wakes up
A new life is born
Somehow I have to make this final breakthru
Now!

I wake up
Feel just fine
Your face
Fills my mind
I get religion quick
'Cos you're looking divine
Honey you're touching something, you're touchin' me
I'm under your thumb, under your spell, can't you see?
If I could only reach you
If I could make you smile
If I could only reach you
That would really be a breakthru - oh yeah

...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Personal Jesus - Original Seven Inch Version,Depeche Mode,dance rock,1989,130,68,64,-12,5,71,225,1,4,61,"Reach out and touch faith

Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there

Feeling unknown
And you're all alone
Flesh and bone
By the telephone
Lift up the receiver
I'll make you a believer

Take second best
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Kingston Town,UB40,reggae fusion,1989,102,25,96,-13,4,80,228,16,6,49,"The night seems to fade
But the moonlight lingers on
There are wonders for everyone, oh
The stars shine so bright
But they're fading after dawn
There is magic in Kingston Town

Oh, Kingston Town
The place I long to be
If I had the whole world
I would give it away
Just to see the girls at play
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Woman In Chains,Tears For Fears,art rock,1989,160,61,43,-8,6,37,391,2,3,66,"You better love lovin' and you better behave
You better love lovin' and you better behave
Woman in chains
Woman in chains

Calls her man the great white hope
Says she's fine, she'll always cope
Ooh, woman in chains
Woman in chains

Well, I feel
Lyin' and waitin' is a poor man's deal
(A poor man's deal)
And I feel
Hopelessly weighed down by your eyes of steel
(Your eyes of steel)
Well, it's a world gone crazy
Keeps woman in chains

Woman in chains
Woman in chains
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
I Wish It Would Rain Down - 2016 Remaster,Phil Collins,mellow gold,1989,126,67,51,-5,31,36,328,29,3,61,"You know I never meant to see you again
But I only passed by as a friend, yeah
All this time I stayed out of sight
I started wondering why

Now I, oh, now I wish it would rain down, down on me
Oh, yes, I wish it would rain, rain down on me now
Oh, yes, I wish it would rain down, down on me
Oh, yes, I wish it would rain on me

You said you didn't need me in your life
Oh, I guess you were right, yeah
Oh, I never meant to cause you no pain
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
If You Don't Know Me by Now - 2008 Remaster,Simply Red,british soul,1989,94,35,64,-9,11,20,204,49,3,72,"If you don't know me by now
You will never, never, never know me

All the things
That we've been through
You should understand me
Like I understand you
Now girl I know the difference
Between right and wrong
I ain't gonna do nothing
To break up our happy home
Don't get so excited
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
Free Fallin',Tom Petty,album rock,1989,84,45,62,-13,6,57,256,21,3,76,"She's a good girl, loves her mama
Loves Jesus and America too
She's a good girl, is crazy 'bout Elvis
Loves horses and her boyfriend too

And it's a long day livin' in Reseda
There's a freeway runnin' through the yard
And I'm a bad boy, 'cause I don't even miss her
I'm a bad boy for breakin' her heart

And I'm free
Free fallin'
Yeah, I'm free
Free fallin'

And all the vampires walkin' through the valley
Move west down Ventura Boulevard (Ventura Boulevard)
...

******* This Lyrics is NOT for Commercial use *******
(1409623230322)"
